Team ID , Team  , Region , Country , Track , Section , Size , Status
2076,UNH_Durham,North America,United States,,Undergrad,9,Accepted
1975,UNIK_Copenhagen,Europe,Denmark,,Overgrad,15,Accepted
2022,UNSW_Australia,Asia,Australia,,Undergrad,9,Accepted
2024,UoA_NewZealand,Asia,New Zealand,,Undergrad,19,Accepted
2008,UofC_Calgary,North America,Canada,,Undergrad,25,Accepted
2118,UPF-CRG_Barcelona,Europe,Spain,,Undergrad,16,Accepted
2106,UPIBI-IPN,Latin America,Mexico,,Team not yet accepted,1,Pending
1973,UPO-Sevilla,Europe,Spain,,Overgrad,11,Accepted
2003,Uppsala,Europe,Sweden,,Overgrad,12,Accepted
2179,UrbanTundra_Edmonton,North America,Canada,,High_school,14,Accepted
2147,USNA-Annapolis,North America,United States,,Undergrad,16,Accepted
2149,USP-EEL-Brazil,Latin America,Brazil,,Undergrad,13,Accepted
2136,USP_UNIFESP-Brazil,Latin America,Brazil,,Overgrad,30,Accepted
2009,USTC,Asia,China,,Undergrad,32,Accepted
2001,USTC-Software,Asia,China,,Undergrad,5,Accepted
2072,UST_Beijing,Asia,China,,Undergrad,32,Accepted
1966,UT-Knoxville,North America,United States,,Overgrad,14,Accepted
2070,UT-Tokyo,Asia,Japan,,Undergrad,11,Accepted
2017,Valencia_UPV,Europe,Spain,,Undergrad,12,Accepted
2005,Vanderbilt,North America,United States,,Undergrad,6,Accepted
2006,Vanderbilt_Software,North America,United States,,Undergrad,4,Accepted
1983,Vilnius-Lithuania,Europe,Lithuania,,Undergrad,20,Accepted
1879,Virginia,North America,United States,,Undergrad,14,Accepted
1913,Wageningen_UR,Europe,Netherlands,,Overgrad,24,Accepted
1994,Warwick,Europe,United Kingdom,,Undergrad,12,Accepted
2165,Washington,North America,United States,,Undergrad,17,Accepted
2135,WashU_StLouis,North America,United States,,Undergrad,11,Accepted
2137,Waterloo,North America,Canada,,Overgrad,38,Accepted
2177,Westlake,North America,United States,,High_school,1,Pending
1977,Westminster_UoW,Europe,United Kingdom,,Undergrad,16,Accepted
2066,William_and_Mary,North America,United States,,Undergrad,12,Accepted
1900,WLC-Milwaukee,North America,United States,,Undergrad,8,Accepted
2167,Wound-Aid-West-Point,North America,United States,,Team not yet accepted,1,Pending
2083,WPI_Worcester,North America,United States,,Undergrad,8,Accepted
1906,XJTLU-CHINA,Asia,China,,Undergrad,21,Accepted
1960,XMU-China,Asia,China,,Undergrad,27,Accepted
2121,Yale,North America,United States,,Undergrad,9,Accepted
1886,ZJU-China,Asia,China,,Undergrad,15,Accepted
